323,text/h323
vql,audio/x-twinvq-plugin
vrml,model/vrml
vrt,x-world/x-vrt
vsd,application/x-visio
vst,application/x-visio
vsw,application/x-visio
vxml,application/voicexml+xml
w60,application/wordperfect6.0
w61,application/wordperfect6.1
w6w,application/msword
wav,audio/x-wav
wav,audio/wav
wb1,application/x-qpro
wbmp,image/vnd.wap.wbmp
wbmxl,application/vnd.wap.wbxml
wcm,application/vnd.ms-works
wdb,application/vnd.ms-works
web,application/vnd.xara
wiz,application/msword
wk1,application/x-123
wks,application/vnd.ms-works
wmf,application/x-msmetafile
wml,text/vnd.wap.wml
wmlc,application/vnd.wap.wmlc
wmls,text/vnd.wap.wmlscript
wmlsc,application/vnd.wap.wmlscriptc
word,application/msword
wp,application/wordperfect
wp5,application/wordperfect
wp6,application/wordperfect
wpd,application/wordperfect
wpd,application/x-wpwin
wps,application/vnd.ms-works
wq1,application/x-lotus
wri,application/x-mswrite
wrl,application/x-world
wrz,model/vrml
wsc,text/scriplet
wsrc,application/x-wais-source
wtk,application/x-wintalk
xaf,x-world/x-vrml
xbm,image/x-xbitmap
xdr,video/x-amt-demorun
xgz,xgl/drawing
xht,application/xhtml+xml
xhtml,application/xhtml+xml
xif,image/vnd.xiff
xl,application/excel
xla,application/excel
xla,application/vnd.ms-excel
xlb,application/excel
xlc,application/excel
xlc,application/x-excel
xld,application/excel
xlk,application/excel
xll,application/excel
xlm,application/excel
xls,application/excel
xlt,application/excel
xlv,application/excel
xlw,application/excel
xm,audio/xm
xml,text/xml
xmz,xgl/movie
xof,x-world/x-vrml
xpix,application/x-vnd.ls-xpix
xpm,image/xpm
x-png,image/png
xsl,application/xml
xslt,application/xslt+xml
xsr,video/x-amt-showrun
xul,application/vnd.mozilla.xul+xml
xwd,image/x-xwindowdump
xyz,chemical/x-xyz
z,application/x-compressed
zip,application/x-compressed
zoo,application/octet-stream
zsh,text/x-script.zsh
,application/octet-stream
