jnxBoxDescr.0                 (1.3.6.1.4.1.2636.3.1.2)       = Juniper MX960 Internet Backbone Router
jnxOperatingDRAMSize.1.1.0.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.2.1.0.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.2.2.0.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.2.3.0.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.2.4.0.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.4.1.0.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.4.1.1.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.4.1.2.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.4.1.3.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.4.1.4.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.4.1.5.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.4.1.6.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.4.2.0.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.4.2.1.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.4.2.2.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.4.2.3.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.4.2.4.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.4.2.5.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.4.2.6.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.7.1.0.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 1073741824
jnxOperatingDRAMSize.7.11.0.0 (1.3.6.1.4.1.2636.3.1.13.1.10) = 1073741824
jnxOperatingDRAMSize.7.12.0.0 (1.3.6.1.4.1.2636.3.1.13.1.10) = 1073741824
jnxOperatingDRAMSize.8.1.1.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.8.1.2.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
